Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T057_001,SE_T083_001
1001,05000US01001,"Autauga County, Alabama","Autauga County, Alabama",al,50,0,ACSSF,13,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55136,55136,92.75346,594.4360885,604.3882,594.4361,9.952067,52475,24644
1003,05000US01003,"Baldwin County, Alabama","Baldwin County, Alabama",al,50,0,ACSSF,14,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191205,191205,120.271,1589.78407,2027.311,1589.784,437.5272,50183,26851
1005,05000US01005,"Barbour County, Alabama","Barbour County, Alabama",al,50,0,ACSSF,15,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27119,27119,30.64722,884.8763037,904.5153,884.8763,19.63898,35634,17350
1007,05000US01007,"Bibb County, Alabama","Bibb County, Alabama",al,50,0,ACSSF,16,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22653,22653,36.38555,622.5823317,626.1689,622.5823,3.586525,37984,18110
1009,05000US01009,"Blount County, Alabama","Blount County, Alabama",al,50,0,ACSSF,17,,,,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57645,57645,89.40315,644.7759048,650.6282,644.7759,5.852321,44409,20501
1011,05000US01011,"Bullock County, Alabama","Bullock County, Alabama",al,50,0,ACSSF,18,,,,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10693,10693,17.1691,622.8047759,625.1432,622.8047,2.338439,34804,17706
1013,05000US01013,"Butler County, Alabama","Butler County, Alabama",al,50,0,ACSSF,19,,,,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20523,20523,26.41895,776.8286309,777.8815,776.8286,1.052829,31571,18115
1015,05000US01015,"Calhoun County, Alabama","Calhoun County, Alabama",al,50,0,ACSSF,20,,,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117186,117186,193.4185,605.8676782,612.2863,605.8677,6.418665,40919,21306
1017,05000US01017,"Chambers County, Alabama","Chambers County, Alabama",al,50,0,ACSSF,21,,,,,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34091,34091,57.1487,596.5314434,603.1138,596.5314,6.582325,32835,21240
1019,05000US01019,"Cherokee County, Alabama","Cherokee County, Alabama",al,50,0,ACSSF,22,,,,,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26042,26042,47.0327,553.6998256,599.9776,553.6998,46.27778,34983,22234
1021,05000US01021,"Chilton County, Alabama","Chilton County, Alabama",al,50,0,ACSSF,23,,,,,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43781,43781,63.18936,692.8540148,700.8025,692.854,7.948448,41785,21718
1023,05000US01023,"Choctaw County, Alabama","Choctaw County, Alabama",al,50,0,ACSSF,24,,,,,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13546,13546,14.82868,913.5003004,920.8591,913.5003,7.358819,34325,21268
1025,05000US01025,"Clarke County, Alabama","Clarke County, Alabama",al,50,0,ACSSF,25,,,,,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25331,25331,20.45354,1238.465043,1252.574,1238.465,14.1092,30951,20022
