stop_name,master_node_id,stop_id,stop_lat,stop_lon
Dingpu,Dingpu_0,BL01,24.9593,121.4199
Yongning,Yongning_0,BL02,24.96722082,121.4368273
Tucheng,Tucheng_0,BL03,24.97322602,121.44445159999998
Haishan,Haishan_0,BL04,24.98554828,121.4488753
Far Eastern Hospital,Far Eastern Hospital_0,BL05,24.99858903,121.4526489
Fuzhong,Fuzhong_0,BL06,25.00893484,121.4592189
Banqiao,Banqiao_0,BL07,25.01429712,121.46288179999999
Xinpu,Xinpu_0,BL08,25.02299595,121.46798700000001
Jiangzicui,Jiangzicui_0,BL09,25.02990494,121.4722368
Longshan Temple,Longshan Temple_0,BL10,25.03522913,121.5012209
Ximen,Ximen_0,BL11,25.042212600000003,121.5084877
Taipei Main Station,Taipei Main Station_0,BL12,25.04623308,121.51743799999998
Shandao Temple,Shandao Temple_0,BL13,25.04481301,121.5233402
Zhongxiao Xinsheng,Zhongxiao Xinsheng_0,BL14,25.04235484,121.5329188
Zhongxiao Fuxing,Zhongxiao Fuxing_0,BL15,25.04160216,121.54379399999999
Zhongxiao Dunhua,Zhongxiao Dunhua_0,BL16,25.0414948,121.549656
Sun Yat Sen Memorial Hall,Sun Yat Sen Memorial Hall_0,BL17,25.04134747,121.5576889
Taipei City Hall,Taipei City Hall_0,BL18,25.04117889,121.5652595
Yongchun,Yongchun_0,BL19,25.04086362,121.57587290000001
Houshangpi,Houshangpi_0,BL20,25.04427855,121.58200409999999
Kunyang,Kunyang_0,BL21,25.05018866,121.59302009999999
Nangang,Nangang_0,BL22,25.05217838,121.60763419999999
Taipei Nangang Exibition Center,Taipei Nangang Exibition Center_0,BL23,25.05456568,121.61762250000001
Taipei Zoo,Taipei Zoo_0,BR01,24.99827749,121.57932509999999
Muzha,Muzha_0,BR02,24.99797115,121.5730153
Wanfang Community,Wanfang Community_0,BR03,24.99891373,121.5681632
Wanfang Hospital,Wanfang Hospital_0,BR04,24.99950445,121.55802859999999
Xinhai,Xinhai_0,BR05,25.00531829,121.5571409
Linguang,Linguang_0,BR06,25.01852323,121.55882700000001
Luzhangli,Luzhangli_0,BR07,25.02384488,121.55305800000001
Technology Building,Technology Building_0,BR08,25.02599198,121.54345149999999
Daan,Daan_0,BR09,25.03282057,121.5436261
Nanjing Fuxing,Nanjing Fuxing_0,BR11,25.05187438,121.544045
Zhongshan Junior High School,Zhongshan Junior High School_0,BR12,25.06080611,121.54421640000001
Songshan Airport,Songshan Airport_0,BR13,25.06407039,121.55426170000001
Dazhi,Dazhi_0,BR14,25.08047733,121.5481486
Jiannan Rd,Jiannan Rd_0,BR15,25.08489846,121.5556072
Xihu,Xihu_0,BR16,25.08213075,121.5687828
Gangqian,Gangqian_0,BR17,25.07938892,121.57683970000001
Wende,Wende_0,BR18,25.07851365,121.582495
Neihu,Neihu_0,BR19,25.08104768,121.591204
Dahu Park,Dahu Park_0,BR20,25.08447314,121.6009254
Huzhou,Huzhou_0,BR21,25.07301369,121.6065949
